1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
2 7 17 150 156.86
2 15 7 60 122.03
3 6 8 120 60.92
3 12 19 180 87.01
1 2 17 620 555.42
1 4 7 450 521.10
1 5 19 251 152.64
1 10 13 378 30.30
1 13 15 280 90.06
4 6 7 205 17.02
4 11 14 133 106.31
4 12 9 80 39.64
5 3 11 177 129.84
5 12 16 230 215.29
5 14 15 60 41.30
6 2 14 220 58.58
6 9 10 105 70.03
6 15 19 45 172.93
7 15 10 30 260.43
8 6 7 380 34.03
8 9 6 307 83.15
8 3 13 244 21.06
9 12 6 387 262.26
9 15 7 245 43.35
10 2 11 510 168.92
10 3 8 267 149.50
10 8 14 480 94.16
10 12 5 358 212.40
11 7 14 295 240.72
11 15 15 120 195.48
12 2 14 420 33.27
12 7 11 360 505.96
12 15 7 258 52.99
13 3 12 268 28.73
13 8 8 276 180.88
14 3 17 90 68.34
14 8 13 183 173.20
14 12 5 300 180.22
